EXFOR Units, Expansion, Comments, Pint Units
CM3/S/MOL,centimeters**3 per second per Mol,' = cm3 / (Mol * sec)',cm**3/sec/mole
ARB-UNITS,arbitrary Units,"'To be combined with the REL, RAW or MSC modifier'",arb_units 
NO-DIM,no Dimensions,,no_dim
PER-CENT,per-cent,"'Used for relative errors.  Must not be used under the', "" headings 'DATA', 'RATIO', etc. (In such case,, divide"", "" data by 100 and use 'NO-DIM').""",percent
ADEG,angular Degrees,,angular_degrees
AMIN,angular Minutes,,angular_minutes
ARAD,radians,,radian
ASEC,angular Seconds,,angular_seconds
GAM/100N,gammas per 100 neutrons,,gammas/_100neutrons
GAM/PART,gammas per incident projectile,,gammas/projectile
P/FS/MEVSR,particles/fission/MeV/sr,,particles/fission/MeV/steradian
PRT/FIS/SR,particles per fission per sterad,,particles/fission/steradian
P/IN/MEVSR,particl./inc.proj. per Sr per MeV,' = (part./inc.proj.) / (sr * MeV)',particles/projectile/steradian/MeV
PC/INC/SR,particles/100 incid.projectiles/s,,particles/_100projectiles/second
PRD/INC/SR,products/inc.projectile/steradian,' = (prod.per inc.proj.) / sr',products/projectile/steradian
PRT/INC/SR,partcles/inc.projectile/steradian,' = (part.per inc.proj.) / sr',particles/projectile/steradian
# PART/FIS,particles per fission,,particles/fission  # obsolete coding
PC/FIS,particles per 100 fissions,,particles/_100fissions
PRD/FIS,products/fission,,products/fission
PRT/FIS,particles per fission,,particles/fission
PRD/FIS/SR,products/fission/sr,,products/fission/steradian
PC/FIS/MEV,particl. per 100 fissions per MeV,' = (part.per 100 fissions) / MeV',particles/_100fissions/MeV
PD/FIS/MEV,products per fission per MeV,,products/fission/MeV
PT/FIS/MEV,particles per fission per MeV,' = (part.per fission) / MeV',particles/fission/MeV
FGY*M2,femtogrey * square meters,,femtogray*meter**2
GY*M-SQ,Grey * square meters,,gray*m**2
PGY*CM2,picogrey * square centimeters,,picogray*cm**2
PRT/RCT/SR,particles per reaction per sterad,,particles/reaction/steradian
PT/RCT/MEV,particles per reaction per MeV,,particles/reaction/MeV
PC/REAC,particles/100 reactions,,particles/_100reactions
PRD/REAC,products/reaction,,products/reaction
PRT/REAC,particles/reaction,,particles/reaction
PC/DECAY,particles per 100 decays,,particles/_100decays
PRT/DECAY,particles per decay,,particles/decay
1/EV,per eV,,1/eV
1/GEV,per GeV,,1/GeV
1/INC/KEV,per incident projectile per keV,,1/projectile/keV
1/KEV,per keV,,1/keV
1/MEV,per MeV,,1/MeV
1/MILLI-EV,per milli-eV,,1/meV
EV,electron-Volts,,eV
GEV,GeV,,GeV
GEV/A,GeV per mass number,,GeV/nuclear_mass_number
